algorithm,skew_type,alpha,num_clients,global_accuracy,f1_score,auc,worst_client_acc
FedAvg,label,0.3,10,0.511,0.4771701065405609,0.906911911111111,0.0
FedAvg,label,1.0,10,0.5997,0.5833346310680477,0.9320104833333334,0.0
FedAvg,label,1.0,10,0.606,0.6003711139631736,0.9294172555555557,0.0
FedAvg,quantity,0.3,10,0.6874,0.6821910768153245,0.9515643111111112,0.0
FedAvg,quantity,1.0,10,0.6148,0.6105819893854229,0.9305169166666668,0.0
FedAvg,label,0.3,15,0.4693,0.4368873521039212,0.8838785388888889,0.0
FedAvg,label,1.0,15,0.5688,0.5554395512640463,0.9153102,0.0
FedAvg,label,1.0,15,0.5594,0.5522705328873576,0.9148951722222222,0.0
FedAvg,quantity,0.3,15,0.6351,0.633708311430673,0.9357084722222222,0.0
FedAvg,quantity,1.0,15,0.6057,0.5989295365465295,0.9261962333333332,0.0
FedAvg,label,0.3,2,0.5677,0.4998318459788937,0.9418954833333334,0.0
FedAvg,label,0.3,2,0.5623,0.505643101022556,0.8989105444444444,0.0
FedAvg,label,1.0,2,0.7259,0.7269791368422148,0.9606291777777776,0.0
FedAvg,label,1.0,2,0.6588,0.6580720952954888,0.945529522222222,0.0
FedAvg,quantity,0.3,2,0.7293,0.7273704697144425,0.9650718388888888,0.0
FedAvg,quantity,1.0,2,0.7333,0.7305587619872623,0.9623723555555556,0.0
FedAvg,label,0.3,5,0.5751,0.5631846197888997,0.9359701777777778,0.0
FedAvg,label,0.3,5,0.5623,0.5371199143594111,0.9337169111111108,0.0
FedAvg,label,1.0,5,0.6543,0.6358402587390788,0.9467430055555556,0.0
FedAvg,label,1.0,5,0.6162,0.6017648504910966,0.9409595555555555,0.0
FedAvg,quantity,0.3,5,0.7372,0.735131116384217,0.9639553555555554,0.0
FedAvg,quantity,1.0,5,0.7055,0.702439387397005,0.9557105,0.0
FedAvg,label,0.3,10,0.4704,0.425169185865278,0.9000851722222223,0.0
FedAvg,label,1.0,10,0.6181,0.619454025313739,0.9337297333333332,0.0
FedAvg,quantity,0.3,10,0.6947,0.692564415004824,0.95295265,0.0
FedAvg,quantity,1.0,10,0.6344,0.631812450875844,0.9348128222222222,0.0
FedAvg,label,0.3,15,0.4579,0.420591413049464,0.8959280833333333,0.0
FedAvg,label,1.0,15,0.5693,0.5615815245646811,0.9136881722222222,0.0
FedAvg,quantity,0.3,15,0.6668,0.6635273804205529,0.9451440277777776,0.0
FedAvg,quantity,1.0,15,0.5902,0.5852314998298137,0.9202528666666666,0.0
FedAvg,label,0.3,2,0.6581,0.649266724545182,0.9512511555555556,0.0
FedAvg,label,1.0,2,0.7288,0.7280702626777844,0.9631161055555556,0.0
FedAvg,quantity,0.3,2,0.4569,0.4551575636715338,0.8683996555555555,0.0
FedAvg,quantity,1.0,2,0.6853,0.6838033839668297,0.9525133,0.0
FedAvg,label,0.3,5,0.5986,0.5720531014582767,0.9374930833333334,0.0
FedAvg,label,1.0,5,0.6558,0.6451381457259893,0.9487202555555556,0.0
FedAvg,quantity,0.3,5,0.6635,0.6567909600701015,0.9438901944444446,0.0
FedAvg,quantity,1.0,5,0.6921,0.6896233334151044,0.9526282666666668,0.0
FedAvg,label,0.3,10,0.4775,0.4223505484736701,0.9015324444444446,0.0
FedAvg,label,1.0,10,0.5871,0.5817670913402295,0.9278514055555556,0.0
FedAvg,quantity,0.3,10,0.5893,0.5818818229537426,0.9235407,0.0
FedAvg,quantity,1.0,10,0.6325,0.6276250418212082,0.93447475,0.0
FedAvg,label,0.3,15,0.3915,0.3375283775516478,0.8731474333333333,0.0
FedAvg,label,1.0,15,0.5655,0.5588615937770852,0.9147729555555556,0.0
FedAvg,quantity,0.3,15,0.671,0.6696133789490102,0.9469227444444444,0.0
FedAvg,quantity,1.0,15,0.5646,0.5595257856154575,0.9110666055555556,0.0
FedAvg,label,0.3,2,0.6337,0.6295800515205392,0.9429749111111112,0.0
FedAvg,label,1.0,2,0.6968,0.6970090740474777,0.9533678111111112,0.0
FedAvg,quantity,0.3,2,0.7133,0.7115419923778041,0.9580056055555556,0.0
FedAvg,quantity,1.0,2,0.691,0.6858543722123672,0.9523518055555554,0.0
FedAvg,label,0.3,5,0.559,0.5530202084078015,0.9289362388888888,0.0
FedAvg,label,1.0,5,0.5657,0.556358962899976,0.9308352944444443,0.0
FedAvg,quantity,0.3,5,0.7033,0.699601249961393,0.955842488888889,0.0
FedAvg,quantity,1.0,5,0.6443,0.6358442362710429,0.9422410666666666,0.0
